28919 0.5
-23 -3 -30
-22.5 -3 -30
-22 -3 -30
-21.5 -3 -30
-21 -3 -30
-20.5 -3 -30
-20 -3 -30
-19.5 -3 -30
-19 -3 -30
-18.5 -3 -30
-18 -3 -30
-17.5 -3 -30
-17 -3 -30
-16.5 -3 -30
-16 -3 -30
-15.5 -3 -30
-15 -3 -30
-14.5 -3 -30
-14 -3 -30
-13.5 -3 -30
-13 -3 -30
-12.5 -3 -30
-12 -3 -30
-11.5 -3 -30
-11 -3 -30
-10.5 -3 -30
-10 -3 -30
-9.5 -3 -30
-9 -3 -30
-8.5 -3 -30
-8 -3 -30
-7.5 -3 -30
-7 -3 -30
-6.5 -3 -30
-6 -3 -30
-5.5 -3 -30
-5 -3 -30
-4.5 -3 -30
-4 -3 -30
-3.5 -3 -30
-3 -3 -30
-2.5 -3 -30
-2 -3 -30
-1.5 -3 -30
-1 -3 -30
-0.5 -3 -30
0 -3 -30
0.5 -3 -30
1 -3 -30
1.5 -3 -30
2 -3 -30
2.5 -3 -30
3 -3 -30
3.5 -3 -30
4 -3 -30
4.5 -3 -30
5 -3 -30
5.5 -3 -30
6 -3 -30
6.5 -3 -30
7 -3 -30
7.5 -3 -30
8 -3 -30
8.5 -3 -30
9 -3 -30
9.5 -3 -30
10 -3 -30
10.5 -3 -30
11 -3 -30
11.5 -3 -30
12 -3 -30
12.5 -3 -30
13 -3 -30
13.5 -3 -30
14 -3 -30
14.5 -3 -30
15 -3 -30
15.5 -3 -30
16 -3 -30
16.5 -3 -30
17 -3 -30
17.5 -3 -30
18 -3 -30
18.5 -3 -30
19 -3 -30
19.5 -3 -30
20 -3 -30
20.5 -3 -30
21 -3 -30
21.5 -3 -30
22 -3 -30
22.5 -3 -30
23 -3 -30
23.5 -3 -30
24 -3 -30
24.5 -3 -30
25 -3 -30
25.5 -3 -30
26 -3 -30
26.5 -3 -30
27 -3 -30
27.5 -3 -30
28 -3 -30
28.5 -3 -30
29 -3 -30
29.5 -3 -30
30 -3 -30
-30 -2.5 -30
-29.5 -2.5 -30
-29 -2.5 -30
-28.5 -2.5 -30
-28 -2.5 -30
-27.5 -2.5 -30
-27 -2.5 -30
-26.5 -2.5 -30
-26 -2.5 -30
-25.5 -2.5 -30
-25 -2.5 -30
-24.5 -2.5 -30
-24 -2.5 -30
-23.5 -2.5 -30
-23 -2.5 -30
-22.5 -2.5 -30
-22 -2.5 -30
-21.5 -2.5 -30
-21 -2.5 -30
-20.5 -2.5 -30
-20 -2.5 -30
-19.5 -2.5 -30
-19 -2.5 -30
-18.5 -2.5 -30
-18 -2.5 -30
-17.5 -2.5 -30
-17 -2.5 -30
-16.5 -2.5 -30
-16 -2.5 -30
-15.5 -2.5 -30
-15 -2.5 -30
-14.5 -2.5 -30
-14 -2.5 -30
-13.5 -2.5 -30
-13 -2.5 -30
-12.5 -2.5 -30
-12 -2.5 -30
-11.5 -2.5 -30
-11 -2.5 -30
-10.5 -2.5 -30
-10 -2.5 -30
-9.5 -2.5 -30
-9 -2.5 -30
-8.5 -2.5 -30
-8 -2.5 -30
-7.5 -2.5 -30
-7 -2.5 -30
-6.5 -2.5 -30
-6 -2.5 -30
-5.5 -2.5 -30
-5 -2.5 -30
-4.5 -2.5 -30
-4 -2.5 -30
-3.5 -2.5 -30
-3 -2.5 -30
-2.5 -2.5 -30
-2 -2.5 -30
-1.5 -2.5 -30
-1 -2.5 -30
-0.5 -2.5 -30
0 -2.5 -30
0.5 -2.5 -30
1 -2.5 -30
1.5 -2.5 -30
2 -2.5 -30
2.5 -2.5 -30
3 -2.5 -30
3.5 -2.5 -30
4 -2.5 -30
4.5 -2.5 -30
5 -2.5 -30
5.5 -2.5 -30
6 -2.5 -30
6.5 -2.5 -30
7 -2.5 -30
7.5 -2.5 -30
8 -2.5 -30
8.5 -2.5 -30
9 -2.5 -30
9.5 -2.5 -30
10 -2.5 -30
10.5 -2.5 -30
11 -2.5 -30
11.5 -2.5 -30
12 -2.5 -30
12.5 -2.5 -30
13 -2.5 -30
13.5 -2.5 -30
14 -2.5 -30
14.5 -2.5 -30
15 -2.5 -30
15.5 -2.5 -30
16 -2.5 -30
16.5 -2.5 -30
17 -2.5 -30
17.5 -2.5 -30
18 -2.5 -30
18.5 -2.5 -30
19 -2.5 -30
19.5 -2.5 -30
20 -2.5 -30
20.5 -2.5 -30
21 -2.5 -30
21.5 -2.5 -30
22 -2.5 -30
22.5 -2.5 -30
23 -2.5 -30
23.5 -2.5 -30
24 -2.5 -30
24.5 -2.5 -30
25 -2.5 -30
25.5 -2.5 -30
26 -2.5 -30
26.5 -2.5 -30
27 -2.5 -30
27.5 -2.5 -30
28 -2.5 -30
28.5 -2.5 -30
29 -2.5 -30
29.5 -2.5 -30
30 -2.5 -30
-30 -2 -30
-29.5 -2 -30
-29 -2 -30
-28.5 -2 -30
-28 -2 -30
-27.5 -2 -30
-27 -2 -30
-26.5 -2 -30
-26 -2 -30
-25.5 -2 -30
-25 -2 -30
-24.5 -2 -30
-24 -2 -30
-23.5 -2 -30
-23 -2 -30
-22.5 -2 -30
-22 -2 -30
-21.5 -2 -30
-21 -2 -30
-20.5 -2 -30
-20 -2 -30
-19.5 -2 -30
-19 -2 -30
-18.5 -2 -30
-18 -2 -30
-17.5 -2 -30
-17 -2 -30
-16.5 -2 -30
-16 -2 -30
-15.5 -2 -30
-15 -2 -30
-14.5 -2 -30
-14 -2 -30
-13.5 -2 -30
-13 -2 -30
-12.5 -2 -30
-12 -2 -30
-11.5 -2 -30
-11 -2 -30
-10.5 -2 -30
-10 -2 -30
-9.5 -2 -30
-9 -2 -30
-8.5 -2 -30
-8 -2 -30
-7.5 -2 -30
-7 -2 -30
-6.5 -2 -30
-6 -2 -30
-5.5 -2 -30
-5 -2 -30
-4.5 -2 -30
-4 -2 -30
-3.5 -2 -30
-3 -2 -30
-2.5 -2 -30
-2 -2 -30
-1.5 -2 -30
-1 -2 -30
-0.5 -2 -30
0 -2 -30
0.5 -2 -30
1 -2 -30
1.5 -2 -30
2 -2 -30
2.5 -2 -30
3 -2 -30
3.5 -2 -30
4 -2 -30
4.5 -2 -30
5 -2 -30
5.5 -2 -30
6 -2 -30
6.5 -2 -30
7 -2 -30
7.5 -2 -30
8 -2 -30
8.5 -2 -30
9 -2 -30
9.5 -2 -30
10 -2 -30
10.5 -2 -30
11 -2 -30
11.5 -2 -30
12 -2 -30
12.5 -2 -30
13 -2 -30
13.5 -2 -30
14 -2 -30
14.5 -2 -30
15 -2 -30
15.5 -2 -30
16 -2 -30
16.5 -2 -30
17 -2 -30
17.5 -2 -30
18 -2 -30
18.5 -2 -30
19 -2 -30
19.5 -2 -30
20 -2 -30
20.5 -2 -30
21 -2 -30
21.5 -2 -30
22 -2 -30
22.5 -2 -30
23 -2 -30
23.5 -2 -30
24 -2 -30
24.5 -2 -30
25 -2 -30
25.5 -2 -30
26 -2 -30
26.5 -2 -30
27 -2 -30
27.5 -2 -30
28 -2 -30
28.5 -2 -30
29 -2 -30
29.5 -2 -30
30 -2 -30
-30 -1.5 -30
-29.5 -1.5 -30
-29 -1.5 -30
-28.5 -1.5 -30
-28 -1.5 -30
-27.5 -1.5 -30
-27 -1.5 -30
-26.5 -1.5 -30
-26 -1.5 -30
